time,latitude,longitude,mag,depth,place
2019-08-02T12:03:27.001Z,-7.2822,104.7907,6.9,49.0,"152 km SW of Labuan, Indonesia"
2016-10-19T00:26:01.090Z,-4.8626,108.1627,6.6,614.0,"161 km NNE of Pamanukan, Indonesia"
2022-01-14T09:05:41.461Z,-6.86,105.2887,6.6,33.0,"80 km SW of Labuan, Indonesia"
2017-12-15T16:47:58.230Z,-7.4921,108.1743,6.5,90.0,"12 km SSW of Kawalu, Indonesia"
2016-04-06T14:45:29.620Z,-8.2036,107.3857,6.1,29.0,"111 km S of Banjar, Indonesia"
2024-04-27T16:29:50.643Z,-8.005,107.2798,6.1,59.701,"91 km S of Banjar, Indonesia"
2018-01-23T06:34:54.980Z,-7.0924,105.9632,5.9,48.19,"66 km W of Pelabuhanratu, Indonesia"
2022-12-08T00:50:55.572Z,-6.7109,107.1456,5.8,107.0,"17 km NW of Ciranjang-hilir, Indonesia"
2016-11-07T21:31:28.330Z,-8.11,104.8401,5.8,33.0,"220 km SSW of Labuan, Indonesia"
2017-06-11T23:15:06.150Z,-8.3206,106.259,5.7,7.0,"150 km SSW of Pelabuhanratu, Indonesia"
2016-05-02T04:21:24.710Z,-5.0262,104.6271,5.7,117.0,"35 km SW of Kotabumi, Indonesia"
2015-12-19T15:03:36.010Z,-8.3684,107.0225,5.7,27.0,"137 km SSW of Banjar, Indonesia"
2025-04-22T10:14:06.764Z,-8.198,106.9763,5.6,63.413,"121 km SSW of Banjar, Indonesia"
2022-11-21T06:21:07.066Z,-6.836,106.9968,5.6,10.0,"11 km NE of Sukabumi, Indonesia"
2022-12-03T09:49:40.213Z,-7.2331,107.6139,5.6,120.0,"20 km ESE of Banjar, Indonesia"
2024-02-25T13:07:04.300Z,-7.3405,105.9282,5.6,34.0,"79 km WSW of Pelabuhanratu, Indonesia"
2015-07-24T21:44:38.920Z,-8.2477,108.9163,5.5,48.0,"77 km SSW of Kroya, Indonesia"
2022-01-14T09:49:20.820Z,-7.0422,105.2063,5.4,34.46,"100 km SW of Labuan, Indonesia"
2019-06-09T09:32:25.075Z,-8.1979,108.9471,5.4,70.44,"70 km SSW of Kroya, Indonesia"
2015-11-28T14:47:18.970Z,-7.0548,105.9999,5.4,51.34,"61 km W of Pelabuhanratu, Indonesia"
2023-02-07T00:35:51.557Z,-7.2442,106.0073,5.4,50.524,"66 km WSW of Pelabuhanratu, Indonesia"
2023-08-17T04:28:48.151Z,-7.4965,105.5471,5.4,54.787,"124 km WSW of Pelabuhanratu, Indonesia"
2015-09-04T20:08:31.580Z,-8.043,107.2248,5.4,37.0,"96 km SSW of Banjar, Indonesia"
2020-10-25T00:56:45.775Z,-7.9934,107.9821,5.4,43.0,"72 km SSW of Kawalu, Indonesia"
2018-06-22T20:57:43.770Z,-4.9819,108.3788,5.3,640.05,"148 km N of Indramayu, Indonesia"
2016-06-28T03:32:44.890Z,-5.992,105.3444,5.3,10.0,"62 km S of Bandar Lampung, Indonesia"
2022-04-01T07:14:12.495Z,-7.2524,106.0683,5.3,18.52,"60 km WSW of Pelabuhanratu, Indonesia"
2022-03-12T05:31:11.226Z,-7.3172,106.0704,5.3,42.31,"64 km SW of Pelabuhanratu, Indonesia"
2018-05-09T21:25:58.830Z,-6.3375,104.9107,5.3,46.85,"101 km W of Labuan, Indonesia"
2022-03-16T03:00:03.847Z,-7.6341,107.0324,5.3,50.19,"65 km SW of Banjar, Indonesia"
2023-10-01T04:00:24.335Z,-6.9332,106.7791,5.3,113.044,"16 km W of Sukabumi, Indonesia"
2022-02-04T10:10:46.682Z,-7.2617,105.9667,5.2,44.85,"71 km WSW of Pelabuhanratu, Indonesia"
2017-12-16T00:22:30.840Z,-7.8842,106.8195,5.2,44.0,"101 km SW of Banjar, Indonesia"
2015-10-10T09:04:01.020Z,-8.0486,107.4009,5.2,35.0,"94 km S of Banjar, Indonesia"
2019-01-08T09:54:47.990Z,-7.8778,106.5655,5.2,35.0,"98 km S of Pelabuhanratu, Indonesia"
2016-08-12T08:30:07.790Z,-6.5442,104.9177,5.2,56.45,"102 km W of Labuan, Indonesia"
2021-05-23T03:50:49.612Z,-6.2692,105.525,5.2,15.95,"35 km WNW of Labuan, Indonesia"
2021-08-06T11:08:17.950Z,-6.2037,104.6565,5.2,54.99,"108 km SW of Bandar Lampung, Indonesia"
2022-11-12T13:18:47.398Z,-8.0496,107.418,5.2,55.403,"94 km S of Banjar, Indonesia"
2020-11-04T22:21:49.702Z,-7.3061,106.1567,5.2,39.99,"56 km SW of Pelabuhanratu, Indonesia"
2017-04-23T18:01:13.310Z,-7.7404,108.0192,5.2,72.22,"44 km SSW of Singaparna, Indonesia"
2017-07-08T22:48:31.650Z,-7.4094,105.9824,5.2,8.54,"78 km SW of Pelabuhanratu, Indonesia"
2024-02-25T15:04:57.491Z,-7.3755,105.9647,5.2,45.156,"77 km WSW of Pelabuhanratu, Indonesia"
2021-11-10T02:50:07.762Z,-7.5917,105.8256,5.1,21.04,"104 km SW of Pelabuhanratu, Indonesia"
2022-12-19T05:50:15.217Z,-5.3796,104.6469,5.1,109.811,"66 km SSW of Kotabumi, Indonesia"
2017-03-14T04:36:30.050Z,-5.6225,110.1835,5.1,545.67,"111 km NNW of Batang, Indonesia"
2017-09-25T18:10:43.200Z,-5.9298,106.3876,5.1,150.05,"22 km N of Kresek, Indonesia"
2020-07-07T04:44:13.602Z,-6.3146,106.3418,5.1,96.85,"11 km ENE of Rangkasbitung, Indonesia"
2021-05-23T03:48:11.936Z,-6.3831,105.3483,5.1,10.0,"53 km W of Labuan, Indonesia"
2017-02-19T15:14:07.500Z,-6.4023,104.6528,5.1,45.93,"126 km SSW of Bandar Lampung, Indonesia"
2023-05-10T04:24:47.542Z,-6.5679,104.7998,5.1,19.579,"115 km W of Labuan, Indonesia"
2016-08-12T07:17:14.810Z,-6.5866,104.8479,5.1,44.17,"111 km WSW of Labuan, Indonesia"
2015-11-04T06:14:32.820Z,-6.7492,105.0488,5.1,10.0,"95 km WSW of Labuan, Indonesia"
2018-10-29T21:11:17.140Z,-6.883,104.934,5.1,27.3,"113 km WSW of Labuan, Indonesia"
2025-02-14T12:28:33.614Z,-7.3712,105.5416,5.1,48.79,"114 km SSW of Labuan, Indonesia"
2019-07-28T14:25:02.625Z,-6.9777,106.1423,5.1,58.47,"45 km W of Pelabuhanratu, Indonesia"
2023-10-19T14:08:24.664Z,-7.8723,107.2582,5.1,58.526,"77 km SSW of Banjar, Indonesia"
2019-06-29T06:47:04.303Z,-8.1929,108.9633,5.1,78.89,"69 km SSW of Kroya, Indonesia"
2023-12-27T22:43:56.800Z,-7.7769,107.9533,5.1,72.197,"50 km SSW of Singaparna, Indonesia"
2017-08-03T16:14:23.470Z,-8.1608,108.9879,5.0,63.18,"64 km SSW of Kroya, Indonesia"
2022-09-17T06:24:59.047Z,-7.16,105.1422,5.0,24.613,"115 km SW of Labuan, Indonesia"
2020-05-03T07:06:45.122Z,-6.2306,104.6938,5.0,48.5,"108 km SW of Bandar Lampung, Indonesia"
2024-08-14T17:55:39.603Z,-7.6359,106.0795,5.0,19.222,"88 km SW of Pelabuhanratu, Indonesia"
2017-09-02T03:32:22.220Z,-6.0389,104.9644,5.0,75.14,"75 km SSW of Bandar Lampung, Indonesia"
2022-03-30T07:44:38.251Z,-6.0266,104.4366,5.0,44.61,"112 km SW of Bandar Lampung, Indonesia"
2017-04-24T21:29:00.490Z,-6.0171,105.3705,5.0,50.16,"64 km NW of Labuan, Indonesia"
2022-01-17T00:25:57.521Z,-7.5134,105.8582,5.0,35.0,"96 km SW of Pelabuhanratu, Indonesia"
2023-09-13T05:34:33.417Z,-5.754,110.1746,5.0,650.655,"100 km NW of Batang, Indonesia"
2024-09-18T02:41:06.723Z,-7.2418,107.5662,5.0,10.0,"15 km ESE of Banjar, Indonesia"
2022-11-19T18:28:30.196Z,-7.7701,107.9887,5.0,69.988,"48 km SSW of Singaparna, Indonesia"
2017-02-15T18:53:38.570Z,-7.5161,107.3878,5.0,77.33,"35 km S of Banjar, Indonesia"
2017-02-08T08:34:18.360Z,-7.5557,106.9498,5.0,74.88,"66 km SW of Banjar, Indonesia"
2024-09-06T19:02:01.444Z,-8.1642,106.829,5.0,10.274,"126 km SSW of Banjar, Indonesia"
2021-04-11T10:44:46.491Z,-6.2729,104.5961,5.0,70.82,"118 km SW of Bandar Lampung, Indonesia"
2016-09-11T15:35:05.860Z,-6.3091,105.2056,5.0,10.0,"69 km W of Labuan, Indonesia"
2021-04-27T09:23:39.234Z,-7.4516,106.9425,5.0,56.93,"59 km S of Sukabumi, Indonesia"
2017-12-12T02:23:10.090Z,-7.1269,107.0917,5.0,100.75,"29 km SE of Sukabumi, Indonesia"
2024-12-20T18:22:39.340Z,-6.4479,105.0901,5.0,54.956,"82 km W of Labuan, Indonesia"
2017-11-08T19:17:06.960Z,-6.5071,104.6146,5.0,35.0,"135 km W of Labuan, Indonesia"
2018-03-19T11:36:27.050Z,-7.41,105.9404,5.0,48.55,"82 km SW of Pelabuhanratu, Indonesia"
2019-05-12T08:51:41.504Z,-6.5488,104.6291,5.0,35.0,"134 km W of Labuan, Indonesia"
2021-04-14T06:28:42.018Z,-7.0761,106.0265,5.0,45.72,"58 km W of Pelabuhanratu, Indonesia"
